A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Brix
149.85,111.74,334.67,191.54,356.09,629.23,163.91,262.2,335.65,97.56,256.47,117.64,2946.43,707.74,205.04,129.78,390.61,736.48,2.4
185.77,107.96,316.35,165.38,321.13,627.7,82.12,150.75,282.66,91.65,257.51,118.56,2443.98,578.99,209.13,125.69,335.35,699.21,2.4
144.17,110.8,348.51,179.37,359.98,729.31,115.94,208.73,295.89,92.3,259.48,117.08,2368.59,470.69,207.87,123.56,327.11,627.11,2.8
342.53,163.83,528.19,222.81,426.02,836.89,146.79,242.7,337.45,101.37,234.05,108.37,2615.67,645.97,209.6,128.96,355.3,695.24,2.8
179.02,90.34,194.07,110.25,244.59,524.56,69.88,120.48,307.58,94.49,241.91,107.45,2355.49,697.92,200.17,127,336.93,722.37,2.9
231.68,126.33,304.76,154.68,266.6,452.8,75.52,138.23,228.14,74.89,216.13,98.93,2362.84,596.64,199.38,123.24,333.29,711.56,2.9
235.52,115.34,376.18,172.95,398.97,901.71,105.84,202.27,378.92,108.82,234.86,109.3,2675.89,657.4,200.8,125.53,347.22,627.11,2.9
159.98,73.49,133.5,75.53,140.42,258.88,59.03,104.57,288.96,91.25,254.04,113.93,2339.86,697.51,219.35,127.49,318.72,719.72,3
180.55,87.12,229.97,122.76,252.65,532.34,63.29,116.06,314.78,95.05,221.45,99.85,1993.24,608.87,174.07,107.55,289.27,592.27,3
201.28,92.8,198.93,108.61,225.74,568.84,94.14,172.92,357.96,109.47,276,124.68,2374.1,660.01,198.6,123.4,319.51,678.04,3
265,95.84,175.19,92.15,176.82,375.07,74.99,139.15,337.9,102.75,232.89,106.52,2256.42,714.76,205.51,123.24,311.6,715.75,3
486.39,319.89,1038.98,400.53,901.24,1764.97,215.08,336.7,306.5,92.87,230.35,109.3,3084.56,648.58,220.45,138.11,425.91,731.63,3
174.57,90.91,173.69,110.25,251.64,592.3,98.39,178.87,329.53,103.72,263.29,116.34,2746.46,739.83,223.44,144.49,388.86,811.01,3.1
208.96,101.33,249.23,148.26,287.03,569.54,131.47,222.18,343.12,99.51,224.69,104.67,2643.49,674.85,198.28,125.69,350.86,681.35,3.1
147.7,81.82,165.28,110.25,224.59,434.06,72.33,127.25,327.46,100.96,275.2,122.27,1986.58,672.45,194.35,120.79,297.35,692.16,3.2
152.46,77.65,143.03,83.1,152.22,283.17,48.4,84.15,278.97,83.8,251.39,111.89,2869.66,885.83,263.54,148.57,395.36,898.11,3.2
163.51,122.16,385.16,174.43,312.21,656.71,79.25,146.24,275.47,89.95,222.49,102.82,2078.06,506.19,185.7,112.61,293.55,612.78,3.2
221.55,105.12,253.72,146.45,290.92,547.61,123.92,228.85,319.46,94.57,228.73,108.56,2346.52,623.11,189.32,118.5,319.67,645.85,3.2
231.07,102.46,209.03,122.59,251.78,475.7,77.12,139.57,284.28,94.65,276,125.05,2547.18,677.86,223.6,133.04,347.38,749.71,3.2
279.89,99.43,249.04,106.14,256.82,776.09,87.22,149.52,399.61,121.12,259.59,121.34,2178.5,743.44,235.55,133.37,306.85,678.49,3.2
233.37,110.8,295.41,163.73,355.09,765.54,88.82,169.74,327.01,98.29,253.12,116.71,2484.43,687.69,200.64,126.51,345.01,712.44,3.3
263.77,100.38,203.42,104.49,216.39,487.5,81.8,151.78,297.24,89.95,217.52,98.93,2055.99,589.82,185.54,115.88,303.52,649.6,3.3
325.18,116.86,400.11,144.81,405.88,1120.34,98.92,163.78,367.41,112.95,262.83,120.79,2245.16,716.97,216.99,132.39,328.7,726.33,3.3
117.15,69.89,118.35,65.99,138.84,288.03,55.84,105.8,264.31,88.66,262.83,118.56,2459.84,695.71,218.57,131.57,348.33,777.71,3.4
194.99,126.9,419.74,196.64,404.87,807.74,142,224.23,328,99.99,237.86,109.11,2511.09,576.98,200.01,124.71,343.42,683.12,3.4
207.42,94.32,216.51,99.89,202.43,520.54,69.35,135.15,342.67,104.2,243.18,114.12,2096.68,660.61,208.03,121.6,293.71,665.7,3.4
288.95,177.84,634.2,309.36,707.87,1529,382.18,483.66,379.19,115.78,269.65,123.19,2824.84,637.75,219.67,144.49,421.32,753.24,3.4
308.14,142.05,344.4,235.31,452.06,795.52,88.29,174.15,359.94,107.28,252.66,114.86,2541.89,781.75,217.46,134.02,345.96,756.1,3.4
210.34,90.91,187.9,104.49,198.41,439.33,76.05,131.87,323.33,97.73,217.64,100.04,2039.44,594.43,189.79,117.52,288.64,651.58,3.5
258.86,115.15,266.8,167.19,347.61,681,114.35,198.68,292.11,94.16,259.48,118.56,2876.55,667.23,229.73,141.54,392.82,774.62,3.5
267.15,96.78,190.15,103.51,192.94,385.34,84.67,153.42,346.18,101.53,220.41,101.89,1937.16,624.92,176.9,110.33,277.4,621.38,3.5
293.4,113.45,227.35,110.91,217.69,392.69,40.42,67.73,236.87,85.42,272.19,117.64,2435.01,713.56,227.06,133.86,339.31,768.45,3.5
144.32,78.6,186.03,110.25,238.12,515.26,81.48,141.1,252.25,84.77,224.22,103.74,2411.11,574.58,205.51,123.89,336.3,686.42,3.6
193.45,100.38,222.49,112.72,234.52,528.45,96.37,178.46,349.59,103.15,281.09,127.82,3329.35,835.49,265.27,152.82,439.85,860.18,3.6
315.05,161.18,589.7,198.95,506.73,1078.28,98.71,181.64,398.53,116.91,271.84,125.6,2539.13,770.72,252.21,147.43,353.24,756.54,3.6
610.29,104.93,204.17,92.81,165.46,510.13,111.05,197.85,303.53,96.43,194.75,92.63,1628.94,434.99,146.08,91.53,222.93,458.64,3.6
292.63,113.45,347.01,133.95,318.97,875.34,78.07,141.82,321.26,97.56,211.51,99.11,2262.86,651.99,203.94,123.07,328.7,690.83,3.7
227.23,90.91,188.46,95.94,196.68,419.76,57.23,99.54,302.72,93.52,211.51,96.33,1996,694.11,198.44,118.33,288.8,680.69,3.8
148.16,85.8,175.19,114.37,267.61,548.16,105.31,179.59,236.15,81.78,245.03,113.56,2370.89,578.99,221.87,136.31,357.51,791.16,3.9
223.54,83.34,166.78,88.86,162.58,306.77,70.74,125.71,299.22,95.3,218.91,100.04,1939.69,637.75,181.61,112.61,283.1,647.84,3.9
