A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Glucose
598.34,379.17,2015.615,339.7,957.69,1352.335,86.655,112.95,73.785,15.03,108.065,23.16,276.545,50.04,68.79,31.93,53.175,37.89,0
626.365,427.28,1614.005,486.865,1015.645,1213.665,85.54,115,74.805,14.57,104.77,22.88,292.98,48.1,95.235,45.055,51.935,34.435,15
662.9,432.425,1687.515,483.19,1053.365,1266.76,82.825,106.895,73.29,14.345,106.43,23.28,292.56,44.82,91.54,42.745,48.98,30.905,30
701.285,423.87,1722.045,459.825,1068.93,1306.205,85.29,114.095,76.23,14.55,105.37,23.62,294.665,43.69,91.905,40.425,51.8,32.23,45
778.765,432.395,1656.605,446.165,992.2,1206.24,81.675,109.495,74.355,14.465,100.845,24.14,293.71,41.145,91.12,40.505,46.87,31.425,60
563.545,378.605,1568.82,384.705,958.96,1155.735,83.055,107.65,74.52,14.79,101.71,23.37,329.185,50.37,100.84,47.345,51.17,37.525,75
716.075,425.735,1657.04,478.035,1057.685,1278.445,80.985,102.125,69.3,14.165,107.085,23.495,246.82,45.695,88.055,38.85,48.295,30.65,90
619.015,398.715,1601.45,428.28,1006.895,1225.905,83.27,106.95,73.455,14.68,103.35,23.005,314.855,44.99,89.26,42.495,50.115,31.825,105
525.95,396.915,1564.365,433.74,1004.525,1214.845,81.32,108.49,75.36,13.965,99.725,22.695,343.085,43.39,91.04,43.12,49.875,33.08,120
698.445,436.245,1629.555,500.77,1015.29,1217.205,81.87,110.2,74.175,14.385,103.365,23.99,275.55,42.45,93.955,41.19,48.315,30.87,135
792.1,454.02,1709.395,506.835,1051.21,1258.94,79.175,104.18,71.52,14.37,112.11,24.085,281.64,43.655,89.21,36.37,48.74,33.08,150
715.69,428.195,1703.75,452.31,1069.315,1290.68,80.84,109.225,71.79,15.205,102,24.115,352.13,51.375,89.625,40.535,57.395,34.73,165
775.315,428.545,1751.895,453.98,1073.2,1301.995,81.92,113.45,75.105,14.37,107.72,23.16,336.385,45.625,93.555,42.9,55.39,32.745,180
787.29,419.61,1544.705,457.685,1013.25,1213.18,83.305,107.07,71.07,15.18,107.545,25.38,389.25,58.36,86.195,40.045,60.985,34.18,195
578.355,398.775,1542.925,442.605,985.36,1186.065,81.66,110.49,74.235,14.345,102.69,23.65,330.33,45.625,85.33,39.555,52.385,33.81,210
765.515,421.57,1687.045,482.12,1049.985,1275.69,83.465,113.26,74.61,14.895,99.595,24.945,309.41,44.02,95.105,41.68,53.49,31.79,225
725.72,439.53,1698.83,469.755,1061.835,1282.675,80.72,111.155,75.375,14.57,101.96,24.545,337.61,47.735,93.11,42.085,53.57,37.49,240
843.92,573.435,2194.17,498.575,1197.77,1475.53,78.66,108.185,74.07,14.575,110.84,25.07,326.075,43.355,86.88,39.855,49.795,33.075,255
707.455,429.93,1763.77,456.835,1052.34,1287.835,79.065,108.475,73.455,15.06,110.69,27.695,322.17,41.545,92.485,40.07,49.105,32.34,270
651.03,403.795,1490.17,452.525,966.055,1166.77,79.675,107.05,71.97,15.235,100.975,25.5,343.32,48.365,91.065,42.52,51.695,33.115,285
831.815,415.255,1453.805,492.105,980.445,1171.63,84.3,106.985,69.03,17.89,104.23,26.4,353.275,52.51,86.825,40.805,54.89,36.455,300
791,407.11,1481.385,453.05,977.065,1176.605,85.365,114.44,73.5,16.125,97.84,25.1,413.765,48.87,89.755,40.045,55.575,35.35,315
833.885,377.25,1477.46,430.205,975.36,1187.845,77.12,103.835,68.1,14.775,99.845,24.545,382.085,48.935,87.61,40.45,54.675,34.73,330
717.1,425.385,1679.51,492.43,1076.865,1312.5,77.65,105.185,69.72,14.975,102.425,24.33,356.075,47.835,91.59,42.85,52.645,34.73,345
862.29,442.055,1673.56,506.15,1069.94,1302.295,74.655,102.125,69.045,14.995,99.975,23.62,379.555,58.025,93.955,42.99,56.495,34.695,360
782.835,439.055,1639.09,518.545,1054.445,1274.165,77.1,103.97,72.735,16.6,108.28,25.94,338.45,47.795,100.085,44.35,56.475,33.185,375
616.355,387.255,1510.925,463.69,1050.225,1289.53,74.1,98.175,66,13.965,96.255,23.095,403.73,48.1,94.505,45.305,53.355,31.9,390
943.225,435.58,1701.225,462.975,966.035,1199.255,96.92,111.91,66.915,13.965,99.495,23.16,322.82,44.19,91.51,40.995,53.41,33.08,405
756.555,476.65,1624.1,595.365,1111.9,1296.49,78.285,105.43,70.245,15.18,102.985,24.085,331.055,45.93,88.265,41.215,48.66,31.9,420
740.23,423.965,1651.965,487.47,1061.33,1286.98,85.275,112.795,74.745,16.785,113.25,26.37,389.785,52.31,88.37,43.26,58.21,40.795,435
776.11,441.645,1598.86,485.025,1018.72,1224.1,80.045,103.135,69.54,15.79,95.97,24.08,360.175,52.175,88.24,39.53,55.68,34.29,450
602.95,451.525,1768.135,498.715,1088.64,1323.79,83.765,114.715,74.445,15.79,104.315,24.085,380.86,50.705,94.815,45.465,53.435,35.425,465
763.825,426.995,1644.825,488.075,1084.185,1319.07,81.25,109.515,74.88,16.085,103.985,24.61,435.065,51.505,91.175,42.905,55.81,35.835,480
871.935,457.935,1626.905,534.48,1057.445,1263.035,73.2,101.015,68.445,15.695,98.395,25.35,353.93,56.59,89.525,41.845,55.415,36.385,495
756.25,435.365,1585.215,513.965,1036.58,1240.57,79.46,107.975,73.125,15.965,105,24.085,382.2,49.5,98.615,44.1,59.635,37.485,510
684.345,443.95,1801.1,527.535,1171.23,1414.085,79.71,119.745,79.825,15.155,109.745,24.55,419.32,44.52,87.77,40.565,57.66,32.49,525
701.235,463.645,1764.145,534.42,1127.945,1369.85,81.905,116.405,78.06,15.64,102.865,24.825,402.505,48.63,95.445,45.245,56.285,32.525,540
683.58,379.96,1442.65,493.395,1064.23,1275.9,75.665,102.145,68.505,14.6,104.905,24.08,402.35,45.76,90.02,41.325,53.78,30.875,555
745.63,414.495,1674.835,468.875,1081.135,1320.11,82.665,104.985,69.345,14.98,136.4,24.545,444.76,47.665,93.115,47.155,53.78,33.075,570
884.63,447.14,1729.775,511.055,1092.67,1317.635,166.15,173.365,80.245,18.42,78.055,25.01,329.87,48.065,86.485,38.98,55.655,40.245,585
658.015,413.71,1650.745,485.575,1116.025,1348.705,76.05,106.025,69.72,14.385,104.31,22.695,412.31,47.93,99.06,46.01,58.19,32.745,600
